LR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,class
LR12548,3,8,4,6,2,7,7,4,14,9,6,8,0,8,8,8,Z
LR12549,3,7,5,5,2,6,11,4,4,13,5,2,0,10,3,9,P
LR12550,5,8,7,6,6,9,7,4,5,10,4,6,3,7,4,10,R
LR12551,4,5,5,6,5,7,9,4,4,7,6,7,4,9,8,8,F
LR12552,4,8,5,6,2,8,7,8,8,6,6,9,2,7,6,11,G
LR12553,5,7,6,8,5,9,8,7,2,4,7,10,3,8,6,10,Q
LR12554,4,7,6,5,5,8,5,6,3,7,6,9,4,8,8,10,E
LR12555,8,11,7,6,3,5,10,3,9,13,7,5,2,9,3,4,T
LR12556,5,11,6,8,4,7,7,12,2,7,9,8,9,6,0,8,M
LR12557,9,15,7,9,5,7,7,5,5,10,6,8,6,6,9,10,B
LR12558,2,2,3,3,2,8,8,6,2,5,6,9,2,9,5,10,Q
LR12559,5,9,4,4,2,7,8,4,7,9,6,9,1,9,7,9,E
LR12560,3,6,4,4,2,7,7,4,14,9,6,8,0,8,8,8,Z
LR12561,5,10,7,8,8,7,9,6,4,8,8,7,10,9,4,10,W
LR12562,3,4,5,3,2,8,7,4,9,6,6,9,4,7,7,9,X
LR12563,9,15,7,8,4,8,6,5,6,8,3,8,6,9,5,8,O
LR12564,7,7,7,5,5,4,11,3,3,9,9,7,7,11,2,6,W
LR12565,7,11,9,8,5,8,6,3,10,12,4,10,2,9,6,10,Z
LR12566,10,10,8,14,6,9,6,5,5,4,12,6,5,10,6,7,Y
LR12567,6,10,9,7,7,10,6,2,5,9,3,6,9,8,2,9,M
LR12568,3,9,5,7,4,7,7,3,8,5,7,9,3,8,6,8,X
LR12569,3,7,5,5,4,7,9,6,4,7,6,7,6,8,3,8,N
LR12570,2,3,4,1,2,8,8,3,5,10,5,7,3,8,3,7,H
LR12571,5,9,5,7,3,7,7,15,2,4,6,8,6,8,0,8,N
LR12572,5,11,6,8,4,8,7,4,4,7,6,8,3,8,4,8,X
LR12573,5,11,7,8,7,8,5,7,4,8,6,8,6,8,7,4,A
LR12574,3,4,3,3,2,5,10,4,4,10,8,4,1,10,3,7,P
LR12575,2,1,2,3,2,5,10,4,5,10,9,6,1,10,3,7,F
LR12576,3,2,4,4,3,6,7,6,6,7,6,10,3,7,4,9,G
LR12577,1,1,2,1,1,5,10,8,3,9,6,5,1,9,3,8,P
LR12578,2,6,3,4,2,7,12,3,7,7,11,8,1,11,1,7,T
LR12579,7,9,7,7,4,4,9,2,7,10,11,6,2,12,3,4,Y
LR12580,3,3,3,4,2,5,10,8,4,7,4,8,2,7,5,11,R
LR12581,3,8,4,6,2,7,7,14,2,5,6,8,6,8,0,8,N
LR12582,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,7,S
LR12583,4,8,6,6,3,6,11,3,6,14,7,3,0,9,2,8,P
LR12584,4,10,6,7,4,4,12,4,4,13,8,5,2,10,2,6,F
LR12585,4,5,5,7,3,8,8,6,10,5,6,7,0,8,9,7,S
LR12586,7,11,6,6,3,8,8,3,6,13,4,5,2,8,6,10,I
LR12587,4,4,5,3,2,4,12,3,3,10,11,7,2,10,1,8,V
LR12588,4,11,6,8,2,7,15,1,6,7,11,8,0,8,0,8,T
LR12589,5,11,7,8,3,7,7,4,15,9,6,8,0,8,9,8,Z
LR12590,4,10,4,7,5,5,10,7,3,7,4,9,2,6,5,11,R
LR12591,3,8,4,6,3,8,8,7,5,6,6,9,2,7,5,11,G
LR12592,4,7,4,5,2,1,12,4,4,12,11,7,0,8,1,6,F
LR12593,2,4,3,2,2,9,7,3,5,10,5,7,2,8,4,9,B
LR12594,5,10,5,8,4,1,12,4,4,12,10,7,0,8,2,6,F
LR12595,5,6,5,4,3,6,7,6,5,10,8,10,2,9,4,9,G
LR12596,2,3,4,2,2,7,9,3,4,12,5,4,1,10,2,8,P
LR12597,4,7,5,5,3,7,6,7,7,11,6,11,2,10,4,9,G
LR12598,4,6,6,4,5,8,5,7,4,7,6,6,5,7,6,9,Q
LR12599,4,7,5,5,3,7,8,7,6,9,8,8,3,8,3,8,O
LR12600,3,7,4,5,3,6,7,5,9,7,7,9,1,9,7,8,Z
LR12601,5,7,8,5,4,7,7,1,8,10,7,9,3,8,3,8,X
LR12602,2,3,4,2,1,7,8,3,7,10,7,7,1,8,5,6,S
LR12603,3,6,4,4,3,8,8,7,4,7,7,7,3,8,2,8,O
LR12604,2,4,3,3,2,7,12,3,6,7,11,9,2,11,1,8,T
LR12605,3,8,4,6,3,9,7,7,6,7,6,8,2,9,9,8,S
LR12606,2,4,3,3,2,8,7,6,3,9,5,8,2,8,2,8,O
LR12607,6,10,9,8,7,8,9,5,4,11,4,4,2,10,3,8,P
LR12608,5,11,7,8,9,8,8,6,6,7,6,6,2,8,6,9,B
LR12609,4,5,4,6,4,8,8,5,3,8,9,9,3,10,5,7,Q
LR12610,2,4,3,2,1,6,11,2,7,11,9,5,1,10,2,5,T
LR12611,8,12,7,6,4,10,3,5,7,12,3,11,3,7,8,11,Q
LR12612,4,6,6,4,5,9,5,7,5,6,9,7,3,9,8,5,Y
LR12613,8,9,11,8,9,6,4,4,6,5,4,7,4,6,6,7,Q
LR12614,3,5,3,3,2,4,3,5,6,2,2,5,1,6,0,6,L
LR12615,5,10,7,8,9,8,5,6,3,7,7,8,8,7,4,7,V
LR12616,5,5,6,8,2,7,7,5,4,7,6,8,3,8,4,8,X
LR12617,4,8,5,6,5,8,7,6,3,6,6,10,3,8,7,9,E
LR12618,5,10,7,8,7,6,11,2,2,7,8,9,7,12,1,8,W
LR12619,4,7,6,5,5,9,7,4,5,9,5,6,2,8,5,9,B
LR12620,4,8,6,6,4,5,13,7,2,12,6,2,1,10,3,8,P
LR12621,7,13,6,10,4,8,9,2,3,12,5,5,2,9,8,9,J
LR12622,5,8,5,6,3,3,8,5,7,9,9,9,3,9,2,5,U
LR12623,4,8,5,5,1,7,7,4,4,7,6,8,3,8,4,8,X
LR12624,6,11,9,8,9,8,8,4,6,10,5,6,5,6,7,10,B
LR12625,6,11,7,8,3,5,7,7,11,7,6,12,1,9,4,8,C
LR12626,5,10,7,8,7,6,8,5,6,6,5,8,3,6,5,8,R
LR12627,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,O
LR12628,5,6,5,4,2,4,12,5,4,11,11,6,3,10,1,8,V
LR12629,7,11,10,8,6,9,9,4,6,12,3,3,2,10,4,9,P
LR12630,1,0,2,1,1,6,9,7,3,7,5,8,2,7,4,11,R
LR12631,2,5,3,4,1,7,7,0,8,13,6,8,0,8,1,8,I
LR12632,2,3,4,2,2,7,10,5,3,10,4,3,1,10,3,8,P
LR12633,5,10,7,7,4,9,5,3,0,8,1,8,2,7,1,8,A
LR12634,7,10,9,7,7,9,6,4,7,9,5,6,2,8,7,10,B
LR12635,5,10,6,8,3,3,8,5,8,11,11,13,1,8,3,7,C
LR12636,6,5,8,8,4,5,8,5,2,7,8,8,9,9,0,8,W
LR12637,9,13,8,7,5,8,6,4,10,11,4,10,3,7,9,9,Q
LR12638,4,6,6,4,3,6,9,2,8,11,8,6,1,8,6,5,Z
LR12639,1,9,0,6,1,7,7,5,3,7,6,8,0,8,0,8,I
LR12640,1,3,2,1,1,7,7,5,5,10,7,10,2,9,3,10,G
LR12641,2,1,2,2,1,8,11,4,5,6,10,7,2,11,1,7,T
LR12642,2,5,3,3,1,7,8,1,7,14,6,7,0,8,1,7,I
LR12643,6,9,6,6,4,7,8,6,8,13,7,10,3,11,4,6,C
LR12644,6,11,8,8,5,10,5,2,6,6,7,4,0,10,4,7,I
LR12645,5,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8,N
LR12646,4,8,4,6,2,4,11,4,4,10,11,7,3,10,1,8,V
LR12647,5,5,6,7,2,4,8,8,2,7,4,11,3,8,2,11,K
LR12648,5,9,5,5,3,9,6,4,6,10,5,7,3,8,9,9,Q
LR12649,5,9,6,7,6,7,5,11,1,7,9,8,9,5,2,9,M
LR12650,4,8,4,5,2,4,15,8,1,12,6,2,0,9,4,8,P
LR12651,3,5,4,3,1,4,12,3,3,10,11,7,2,11,1,8,V
LR12652,4,7,4,5,2,1,12,4,4,12,10,7,0,8,2,6,F
LR12653,5,9,6,6,3,8,6,8,8,7,5,9,3,8,4,8,O
LR12654,4,5,5,4,4,8,4,4,5,7,4,8,4,6,4,8,Q
LR12655,3,6,5,4,3,3,9,2,6,10,11,11,3,8,2,6,K
LR12656,7,9,6,4,3,8,7,5,5,9,4,9,6,5,6,11,R
LR12657,2,4,3,3,1,6,10,2,5,13,7,5,1,9,1,7,F
LR12658,3,5,6,3,3,8,6,1,8,10,5,8,2,8,3,8,X
LR12659,4,11,5,8,4,5,10,8,4,9,7,3,2,10,4,7,P
LR12660,5,6,8,5,8,9,8,5,4,7,6,7,11,9,7,5,M
LR12661,1,1,1,1,1,4,7,5,8,7,6,13,0,8,6,9,E
LR12662,5,10,6,8,5,3,8,7,3,7,5,11,3,8,3,11,K
LR12663,4,7,6,5,3,7,8,4,1,7,8,8,8,9,0,8,W
LR12664,6,9,8,7,5,6,14,6,1,11,5,2,1,11,4,7,P
LR12665,5,8,7,6,6,7,11,2,2,7,8,8,7,12,1,8,W
LR12666,4,5,4,6,4,8,5,6,5,9,6,9,3,8,5,8,Q
LR12667,6,10,8,8,5,8,6,3,9,12,4,9,3,6,8,9,Z
LR12668,1,0,1,0,0,7,7,6,4,7,6,7,1,8,5,9,B
LR12669,3,6,4,8,4,8,6,8,4,5,6,9,3,8,6,10,Q
LR12670,6,14,6,8,4,11,4,2,6,9,3,7,5,7,4,12,D
LR12671,4,7,4,5,3,3,7,5,10,7,6,14,0,8,6,8,E
LR12672,4,9,6,7,4,8,6,6,6,8,6,8,3,7,4,6,J
LR12673,5,7,7,10,10,8,6,5,1,6,6,9,8,9,6,12,Q
LR12674,4,8,5,6,4,7,7,8,4,7,6,10,3,8,3,8,O
LR12675,4,8,6,6,4,11,3,2,2,9,2,9,4,4,3,8,A
LR12676,5,10,7,8,5,6,6,7,6,6,6,10,2,8,5,8,G
LR12677,4,3,4,5,1,7,5,12,5,7,15,8,3,9,0,8,U
LR12678,6,11,6,8,4,3,8,5,7,11,11,9,3,9,2,6,U
LR12679,4,5,7,3,3,6,8,1,9,11,8,9,3,8,3,7,X
LR12680,6,8,9,7,11,9,6,5,5,8,6,8,11,12,8,6,W
LR12681,5,6,6,5,5,6,7,4,5,7,6,11,5,10,8,11,C
LR12682,2,6,3,4,2,7,7,0,7,13,6,8,0,8,1,8,I
LR12683,4,9,5,7,5,8,6,7,4,9,4,8,3,8,2,8,O
LR12684,3,4,6,3,2,7,7,1,9,11,6,8,2,8,3,8,X
LR12685,4,10,6,8,3,8,9,4,2,6,13,8,3,10,0,8,V
LR12686,4,5,6,8,4,7,7,4,2,7,8,8,9,9,0,8,W
LR12687,3,5,6,3,2,8,2,2,2,6,1,8,2,6,2,7,A
LR12688,3,4,3,3,3,7,7,5,8,7,6,8,2,8,6,9,E
LR12689,2,4,4,2,2,8,10,4,3,11,4,3,1,10,3,8,P
LR12690,3,3,3,5,1,0,1,6,6,0,1,5,0,8,0,8,L
LR12691,2,2,3,4,2,7,7,8,4,7,6,8,2,8,3,8,O
LR12692,4,10,6,8,5,6,9,6,5,9,7,3,2,10,4,6,P
LR12693,5,8,7,6,6,9,7,3,5,10,5,6,2,8,5,9,B
LR12694,4,10,6,8,7,10,8,2,6,9,4,4,4,8,7,4,I
LR12695,4,10,5,7,5,6,7,6,9,6,4,10,3,8,6,9,E
LR12696,5,11,8,8,5,8,12,2,3,4,10,9,4,12,2,8,V
LR12697,5,7,7,6,5,9,5,2,4,8,4,9,5,8,7,11,K
LR12698,6,10,8,8,9,8,9,5,4,8,5,6,4,9,11,8,S
LR12699,6,11,6,8,4,5,7,10,10,7,6,6,3,8,4,8,D
LR12700,4,11,5,8,7,6,8,9,6,7,5,7,2,7,8,10,B
LR12701,9,13,8,7,4,6,10,4,5,4,5,10,6,10,2,7,N
LR12702,2,3,3,2,1,6,8,7,7,8,7,12,1,9,4,10,C
LR12703,5,11,8,8,8,7,11,2,2,6,8,8,7,12,1,8,W
LR12704,2,6,4,4,3,8,3,2,1,7,2,8,1,7,2,8,A
LR12705,3,9,5,6,3,10,3,2,2,8,2,10,3,5,3,7,A
LR12706,3,4,4,7,2,7,7,14,2,5,6,8,6,8,0,8,N
LR12707,4,5,5,8,2,7,7,4,14,10,6,8,0,8,8,8,Z
LR12708,4,6,5,4,5,7,7,5,6,7,6,7,6,8,3,8,H
LR12709,2,8,4,5,2,7,5,3,1,6,0,8,2,7,2,7,A
LR12710,3,4,4,3,2,6,7,5,4,9,7,9,2,8,4,9,G
LR12711,3,8,4,6,2,7,5,14,5,7,13,8,3,9,0,8,U
LR12712,4,7,6,5,5,10,11,2,2,5,9,8,6,12,1,8,W
LR12713,2,3,4,2,2,6,6,4,3,9,9,10,5,6,1,7,M
LR12714,3,6,5,4,1,8,8,4,2,7,14,8,3,9,0,8,V
LR12715,5,10,5,6,3,9,6,4,7,11,4,8,3,8,8,11,Q
LR12716,6,7,6,5,4,3,11,2,2,9,9,8,6,11,1,7,W
LR12717,4,9,6,7,4,6,9,6,5,7,7,8,6,9,2,6,N
LR12718,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7,D
LR12719,3,5,6,4,2,9,2,2,2,8,1,8,2,6,2,7,A
LR12720,2,6,3,4,3,5,10,7,4,7,4,9,2,6,5,11,R
LR12721,3,9,4,7,3,7,4,2,8,7,1,8,1,6,2,7,L
LR12722,3,3,4,2,2,6,8,5,7,10,8,8,3,10,3,6,U
LR12723,5,11,8,8,6,7,9,6,5,6,6,7,6,9,1,7,N
LR12724,4,8,5,6,4,7,7,7,7,7,6,4,3,8,3,7,D
LR12725,2,3,4,2,2,7,8,3,5,10,7,8,3,8,2,7,H
LR12726,2,6,4,4,1,6,8,4,2,8,13,8,3,10,0,8,V
LR12727,8,10,8,5,5,8,6,3,5,10,6,7,7,11,5,8,H
LR12728,4,9,6,7,4,5,11,4,6,11,10,5,2,10,3,5,F
LR12729,5,10,6,7,5,7,9,6,4,6,6,6,6,9,2,7,N
LR12730,3,3,4,4,3,8,7,6,3,8,6,9,2,9,3,7,Q
LR12731,3,7,4,5,3,9,3,1,6,9,2,9,1,6,2,9,L
LR12732,6,10,7,8,5,8,6,8,6,9,4,8,3,8,3,8,O
LR12733,2,3,3,2,2,7,7,5,5,10,5,6,3,8,3,9,D
LR12734,5,10,7,7,4,9,7,6,8,11,5,5,3,8,4,8,D
LR12735,5,7,7,5,3,6,10,3,6,13,7,4,2,10,2,7,F
LR12736,9,10,9,8,9,6,10,3,3,8,7,6,11,11,4,5,W
LR12737,1,0,2,1,1,8,7,6,4,6,6,9,2,8,3,8,Q
LR12738,5,11,5,8,3,3,8,6,12,7,6,15,0,8,7,6,E
LR12739,4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,S
LR12740,13,13,12,7,5,1,9,5,3,12,13,9,8,9,0,7,W
LR12741,3,3,4,1,1,5,8,5,6,10,9,9,3,10,2,6,U
LR12742,2,7,4,5,4,7,7,6,5,7,6,4,3,8,2,7,D
LR12743,3,8,4,6,3,5,10,5,5,10,8,4,1,10,4,7,P
LR12744,2,4,4,3,1,12,3,3,2,10,1,9,1,6,2,9,A
LR12745,3,5,4,3,2,5,8,5,7,12,9,11,1,10,2,7,C
LR12746,2,2,4,3,2,8,10,1,7,5,11,8,1,11,2,8,Y
LR12747,1,3,2,2,1,6,5,2,8,7,3,9,0,7,2,8,L
LR12748,3,8,4,6,2,7,7,0,8,14,6,8,0,8,1,7,I
LR12749,2,5,4,3,2,8,2,2,2,8,2,8,2,6,2,7,A
LR12750,5,7,7,5,3,9,8,2,7,14,4,4,2,9,3,9,F
LR12751,6,10,8,8,6,10,7,3,6,10,2,6,5,6,5,10,R
LR12752,3,5,4,4,2,6,6,6,5,9,7,11,2,9,4,10,G
LR12753,2,1,3,1,0,7,10,3,1,7,13,8,1,11,0,8,Y
LR12754,5,4,5,6,2,7,7,15,2,4,6,8,6,8,0,8,N
LR12755,3,6,5,4,4,6,8,5,5,6,4,8,3,6,4,8,R
LR12756,2,1,3,2,1,6,7,6,10,7,6,14,0,8,4,9,C
LR12757,7,11,8,8,6,5,8,1,8,8,9,5,5,11,7,4,Y
LR12758,2,7,3,5,2,7,9,0,6,13,6,7,0,8,1,7,I
LR12759,6,11,8,8,6,9,8,2,6,12,4,6,5,8,4,9,F
LR12760,5,9,7,7,4,5,9,3,4,10,8,8,5,8,1,7,N
LR12761,7,12,6,6,3,7,8,2,7,11,6,6,2,9,6,5,F
LR12762,6,6,7,9,4,8,6,8,7,5,7,8,3,8,5,9,Q
LR12763,3,4,4,3,2,5,12,3,3,9,11,7,2,11,1,8,V
LR12764,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,I
LR12765,4,11,5,8,4,7,7,0,7,13,6,8,0,8,1,8,I
LR12766,4,9,5,7,2,3,6,8,3,7,7,12,4,8,3,10,K
LR12767,3,11,4,8,2,7,7,4,14,10,6,8,0,8,8,8,Z
LR12768,3,3,4,2,2,7,6,6,4,6,7,8,6,5,2,8,M
LR12769,6,11,8,8,7,7,7,7,8,7,6,5,6,8,4,7,D
LR12770,4,5,5,7,3,8,6,9,7,6,6,9,3,8,4,8,Q
LR12771,5,11,7,8,4,4,11,3,4,10,12,9,2,10,1,8,V
LR12772,3,7,4,5,2,4,3,5,8,1,1,5,0,7,1,5,L
LR12773,3,3,4,4,3,8,8,6,2,5,7,9,3,9,5,9,Q
LR12774,5,9,8,7,5,2,8,2,7,11,12,12,3,8,3,5,K
LR12775,8,9,10,8,13,6,8,6,5,6,6,8,10,10,9,9,W
LR12776,5,7,5,5,3,6,11,3,7,11,9,5,2,11,2,4,T
LR12777,3,9,4,7,2,10,6,1,9,12,3,6,0,7,1,7,J
LR12778,3,9,3,7,1,0,1,5,6,0,0,7,0,8,0,8,L
LR12779,2,10,3,7,1,13,3,8,4,14,3,11,1,6,0,8,J
LR12780,3,6,5,4,5,8,7,5,1,7,6,8,8,8,4,9,O
LR12781,2,1,3,2,2,5,10,4,4,9,7,4,1,9,3,7,P
LR12782,5,9,8,7,5,10,7,3,7,10,3,6,3,6,4,11,R
LR12783,4,9,4,6,2,1,13,5,4,12,11,7,0,8,2,6,F
LR12784,4,9,6,6,6,6,8,7,4,7,5,6,4,8,5,6,B
LR12785,4,11,5,8,3,10,6,1,7,13,3,7,0,7,0,8,J
LR12786,3,5,3,3,2,5,12,5,6,11,9,3,1,10,3,5,F
LR12787,4,9,6,6,9,9,9,4,5,7,6,6,5,8,9,5,D
LR12788,4,2,5,4,4,9,6,6,4,6,7,6,8,6,2,6,M
LR12789,3,7,4,5,4,8,7,4,7,7,6,8,6,9,5,10,E
LR12790,4,7,6,5,4,9,7,7,6,7,6,5,3,8,3,6,H
LR12791,5,7,8,10,11,8,9,4,2,6,8,9,4,11,8,8,Y
LR12792,3,7,4,5,4,8,7,7,5,7,6,8,2,8,8,8,S
LR12793,2,3,4,2,3,7,6,3,4,9,7,8,6,5,1,8,M
LR12794,4,6,5,5,4,6,7,4,4,7,6,11,4,9,8,10,C
LR12795,3,5,5,4,3,9,6,4,6,10,4,5,2,8,3,8,D
LR12796,3,5,4,4,3,7,7,5,5,6,6,6,2,8,6,10,B
LR12797,2,2,3,3,2,8,7,3,8,6,6,8,2,8,6,8,X
LR12798,2,2,4,3,2,7,2,2,2,6,2,8,2,7,3,7,A
LR12799,4,5,8,4,3,8,7,1,9,11,4,7,3,8,3,8,X
LR12800,3,4,5,3,2,9,8,3,5,10,3,5,4,9,1,7,N
LR12801,3,5,5,4,3,6,6,6,6,6,6,9,2,8,4,8,G
LR12802,2,5,4,4,2,7,7,3,9,6,6,8,2,8,6,8,X
LR12803,2,4,4,6,4,8,11,3,3,5,8,9,2,11,5,6,Y
LR12804,5,11,7,8,4,7,10,5,5,12,5,3,1,10,3,8,P
LR12805,3,5,5,6,5,7,9,4,4,7,6,7,4,9,8,9,F
LR12806,3,9,6,7,5,7,6,2,6,7,5,8,3,6,7,7,X
LR12807,2,1,2,2,1,6,7,6,10,7,6,14,0,8,4,9,C
LR12808,5,10,6,8,5,8,5,8,5,8,7,8,2,7,4,6,J
LR12809,4,9,6,8,7,7,6,5,4,6,6,8,4,8,1,7,U
LR12810,4,7,5,5,5,8,4,6,3,8,7,10,4,9,7,9,E
LR12811,7,11,6,6,3,7,6,4,6,4,8,6,6,7,3,6,U
LR12812,2,3,3,2,1,5,8,5,6,9,8,8,3,9,2,6,U
LR12813,3,3,4,4,3,8,7,6,2,5,7,9,3,8,5,9,Q
LR12814,2,3,3,1,2,8,8,3,5,10,6,8,3,8,2,8,H
LR12815,2,5,5,3,2,7,8,2,9,12,6,8,1,9,5,7,Z
LR12816,2,3,3,1,1,5,10,4,5,10,9,5,1,9,3,6,F
LR12817,7,8,7,6,4,2,10,3,4,11,11,9,7,10,1,7,W
LR12818,2,6,3,4,2,8,6,3,6,12,5,9,1,6,1,6,J
LR12819,5,9,7,6,6,10,6,2,6,11,3,8,3,8,4,12,B
LR12820,2,3,3,2,1,7,7,5,6,10,6,10,2,9,3,9,G
LR12821,4,9,5,7,2,7,7,4,15,9,6,8,0,8,8,8,Z
LR12822,4,9,5,7,3,4,7,5,6,11,9,14,2,8,3,8,C
LR12823,4,9,5,7,2,8,7,9,8,7,6,9,3,8,4,8,O
LR12824,4,8,5,6,3,7,7,8,5,10,7,8,3,8,3,8,O
LR12825,6,9,8,7,5,7,7,3,9,11,8,9,2,8,4,8,E
LR12826,3,2,4,3,2,7,6,6,6,6,6,10,2,9,4,9,G
LR12827,1,3,1,2,0,7,7,2,6,7,6,8,0,8,2,8,I
LR12828,4,7,6,5,4,8,9,4,4,12,4,3,1,10,3,8,P
LR12829,2,3,2,2,1,8,8,6,5,7,6,7,2,8,8,8,S
LR12830,4,7,6,5,4,8,8,2,6,13,5,5,2,10,3,9,F
LR12831,5,5,6,4,3,4,8,5,8,11,11,9,3,9,2,7,U
LR12832,5,9,5,7,5,7,7,8,4,9,6,8,3,8,3,8,O
LR12833,7,11,7,6,3,8,5,4,4,13,7,9,3,9,3,8,S
LR12834,2,7,3,5,1,6,8,7,8,5,6,13,1,7,4,9,C
LR12835,2,3,3,2,1,8,7,2,7,10,6,8,1,8,4,8,S
LR12836,4,6,6,8,2,6,15,1,6,9,11,7,0,8,0,8,T
LR12837,7,10,9,8,9,7,7,5,5,7,5,7,4,8,7,8,B
LR12838,5,7,6,9,6,9,7,7,2,5,7,10,3,8,6,10,Q
LR12839,5,10,5,7,3,2,11,3,3,11,11,8,2,11,1,8,V
LR12840,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6,F
LR12841,7,13,5,7,3,7,10,6,4,9,9,4,5,12,3,8,V
LR12842,4,9,6,6,6,11,10,2,3,5,9,7,7,10,1,8,W
LR12843,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,E
LR12844,2,3,3,1,1,7,7,5,5,9,7,9,2,8,4,10,G
LR12845,2,5,3,4,2,4,4,4,8,2,1,7,0,7,1,6,L
LR12846,4,5,5,5,4,7,4,5,5,7,5,9,4,5,6,7,Q
LR12847,3,8,4,6,4,8,7,5,9,6,4,8,2,8,6,9,E
LR12848,1,0,1,0,0,7,6,10,4,7,12,8,3,10,0,8,U
LR12849,4,7,6,5,6,7,7,3,4,7,6,8,6,9,6,5,R
LR12850,4,7,5,5,4,5,11,8,3,10,7,3,2,11,3,7,P
LR12851,3,5,5,8,7,8,11,5,0,8,6,6,4,10,6,8,P
LR12852,3,2,4,3,3,5,7,4,7,7,6,10,6,8,4,9,K
LR12853,4,5,5,7,3,7,7,15,2,4,6,8,6,8,0,8,N
LR12854,6,9,5,4,2,8,8,3,6,12,5,6,2,8,6,7,F
LR12855,2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8,A
LR12856,3,2,5,3,2,8,2,2,2,7,2,8,2,7,2,7,A
LR12857,3,11,4,8,2,10,6,1,8,11,3,6,0,7,1,7,J
LR12858,2,3,3,2,1,7,4,2,7,8,2,10,0,7,2,8,L
LR12859,4,7,6,5,3,6,6,6,7,6,6,10,3,7,4,8,G
LR12860,6,9,6,7,6,8,6,7,4,9,4,8,3,9,3,7,O
LR12861,3,9,4,6,3,7,7,9,5,7,6,8,3,8,3,7,O
LR12862,3,2,3,3,3,7,7,5,7,7,5,9,2,8,5,10,E
LR12863,3,2,4,4,3,5,7,4,8,7,6,11,3,8,5,9,K
LR12864,3,8,3,5,1,0,13,4,4,12,11,7,0,8,2,6,F
LR12865,5,9,7,7,7,6,7,3,6,8,7,11,5,10,9,9,E
LR12866,6,10,8,7,9,8,8,5,3,6,6,7,9,8,9,14,G
LR12867,3,4,4,3,2,4,8,5,6,11,10,9,3,9,1,6,U
LR12868,6,9,8,7,7,5,6,4,7,6,6,12,5,7,7,10,K
LR12869,6,10,8,7,4,4,9,7,8,9,11,10,3,9,1,8,U
LR12870,5,9,5,6,6,7,6,10,1,7,8,8,8,4,0,8,M
LR12871,6,11,9,8,6,8,8,9,5,7,7,5,5,8,4,9,O
LR12872,5,10,6,7,3,8,7,5,9,5,6,8,1,8,9,8,S
LR12873,3,5,5,3,2,8,7,1,8,10,5,7,3,8,3,7,X
LR12874,2,4,4,3,1,9,5,3,5,13,6,11,1,7,0,7,J
LR12875,6,8,6,6,4,4,11,1,3,8,10,8,4,11,1,7,V
LR12876,4,8,6,6,6,7,7,3,6,7,7,10,4,9,8,8,E
LR12877,0,6,0,4,0,7,7,4,4,7,6,8,0,8,0,8,I
LR12878,2,3,2,1,1,4,4,4,6,2,2,5,1,7,1,6,L
LR12879,4,6,5,4,4,10,6,3,6,11,4,6,3,8,2,9,D
LR12880,2,4,3,3,1,3,11,3,5,12,10,6,1,10,1,6,Y
LR12881,1,1,2,1,0,7,4,3,0,7,1,8,2,7,1,8,A
LR12882,6,10,8,8,6,6,7,1,7,10,6,10,3,8,4,8,K
LR12883,3,5,5,3,2,7,7,1,8,10,6,8,2,8,3,8,X
LR12884,2,3,2,2,1,3,11,3,5,11,10,5,1,11,1,6,Y
LR12885,3,7,4,5,1,7,5,13,5,7,14,8,3,9,0,8,U
LR12886,2,4,4,6,2,7,3,3,3,7,1,8,3,6,3,8,A
LR12887,1,1,2,3,1,9,6,3,5,12,5,10,1,6,2,6,J
LR12888,3,4,6,3,3,7,7,1,9,10,7,8,3,8,3,7,X
LR12889,7,9,6,13,5,5,7,5,3,7,11,6,4,10,5,6,Y
LR12890,5,9,6,7,3,7,7,4,15,9,6,8,0,8,8,8,Z
LR12891,7,11,9,8,7,6,9,4,7,5,8,10,6,10,1,8,U
LR12892,5,10,6,8,5,6,10,1,8,11,9,6,1,10,3,4,T
LR12893,3,9,6,7,6,10,5,2,4,9,5,5,3,8,5,7,I
LR12894,2,7,4,5,2,11,2,3,3,10,2,9,2,6,3,8,A
LR12895,3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,M
LR12896,2,1,3,2,1,6,8,7,7,8,7,13,1,10,4,10,C
LR12897,4,10,5,8,6,6,6,3,7,6,5,8,7,8,5,9,K
LR12898,1,2,2,4,1,10,6,2,5,12,4,9,1,6,1,7,J
LR12899,2,6,3,4,1,7,9,4,2,7,13,8,3,10,0,8,V
LR12900,4,7,5,5,5,8,6,6,7,6,6,6,2,8,7,10,B
LR12901,2,1,2,1,0,8,7,4,4,7,6,8,3,8,4,8,X
LR12902,2,2,3,4,1,10,6,2,7,12,3,8,1,6,1,7,J
LR12903,3,7,3,5,2,8,6,12,4,7,11,8,3,9,0,8,U
